,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
28880,14947,"Patrick Joseph ""Paddy"" Brennan",M,30.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
29012,15005,Eric Charles Brewer,M,22.0,191.0,100.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
29369,15163,Thrse Anne Brisson,F,35.0,170.0,68.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
29550,15261,"John Charles ""Jack"" Broderick",M,32.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
29554,15264,Martin Pierre Brodeur,M,29.0,188.0,95.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
29556,15264,Martin Pierre Brodeur,M,37.0,188.0,95.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
33188,17095,James Andrew Byrnes,M,25.0,200.0,93.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
33199,17100,"Jacob Walter ""Wally"" Byron",M,35.0,180.0,65.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
33566,17315,"Lawrence J. ""Larry"" Cain",M,21.0,182.0,83.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
34211,17626,"John Archibald ""Jack"" Cameron",M,21.0,,,Canada,CAN,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
34217,17631,Michelle A. Cameron (-Coulter),F,25.0,174.0,59.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
34316,17686,Cassie Dawin Campbell (-Pascall),F,28.0,170.0,66.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
34317,17686,Cassie Dawin Campbell (-Pascall),F,32.0,170.0,66.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
34352,17700,Derrick Nathan Campbell,M,25.0,175.0,71.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
34353,17701,"George Herrold ""Doc"" Campbell",M,30.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
36281,18644,"Jeffrey J. ""Jeff"" Carter",M,29.0,190.0,90.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
37043,19049,"Ethel Hannah Catherwood (-McLaren, -Mitchell)",F,20.0,178.0,58.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's High Jump,Gold
38195,19630,Carlton Chambers,M,21.0,183.0,73.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
38769,19949,Isabelle Chartrand,F,23.0,165.0,62.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
43001,22174,"William Hastings ""Bill"" Cockburn",M,29.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
43478,22417,"Ernest John ""Ernie"" Collett",M,28.0,,,Canada,CAN,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
44313,22858,Myrtle Alice Cook (-McGowan),F,26.0,168.0,55.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
45932,23707,Chandra Crawford,F,22.0,175.0,68.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Sprint,Gold
45938,23709,Dean Crawford,M,26.0,187.0,92.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
45977,23722,Shannon Crawford,F,28.0,173.0,74.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
46382,23927,"Andrew ""Andy"" Crosby",M,26.0,198.0,90.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
46396,23930,Sidney Patrick Crosby,M,22.0,180.0,90.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
46397,23930,Sidney Patrick Crosby,M,26.0,180.0,90.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
46511,23998,"Clifford Thomas ""Cliff"" Crowley",M,25.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
47468,24465,Angela Cutrone,F,23.0,163.0,60.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
48334,24921,Sylvie Daigle,F,29.0,168.0,61.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
49183,25330,Melodie Daoust,F,22.0,163.0,71.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
49734,25625,"John Francis ""Jack"" Davies",M,23.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
49934,25727,Victor Davis,M,20.0,188.0,87.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,Gold
50063,25772,"William ""Billy"" Dawe",M,27.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
50164,25814,"James E. ""Jim"" Day",M,22.0,180.0,77.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
52910,27172,"Frederick Charles ""Charlie"" Delahey",M,22.0,,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
53054,27234,Megan Catherine Delehanty,F,24.0,191.0,76.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
54213,27812,Joseph-tienne Desmarteau (Birtz-),M,31.0,185.0,94.0,Canada,CAN,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 56-pound Weight Throw,Gold
54634,28028,Walter Ignace D'Hondt,M,20.0,193.0,88.0,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,Gold
55312,28365,Robert Bruce Dickson,M,20.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
55703,28545,"Angus F. ""Gus"" Dillon",M,,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
56262,28822,"Francis Joseph ""Frank"" Dixon",M,30.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
57982,29671,Drew Doughty,M,20.0,185.0,92.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
57983,29671,Drew Doughty,M,24.0,185.0,92.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
58176,29774,Murray Albert Dowey,M,22.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
58772,30069,Franois Louis Drolet,M,25.0,172.0,70.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
58822,30097,Derek Drouin,M,26.0,196.0,83.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,Gold
59231,30337,"Matthew ""Matt"" Duchene",M,23.0,180.0,91.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59250,30350,Richard Louis Duckett,M,23.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
59457,30454,Justine Dufour-Lapointe,F,19.0,164.0,54.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
59817,30635,"Albert Gordon ""Bert"" Duncanson",M,20.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
59971,30714,"Bernard Francis ""Frank"" Dunster",M,26.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
60076,30765,Lori Dupuis,F,29.0,173.0,75.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
62853,32221,"James Robert ""Jim"" Elder",M,34.0,172.0,70.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
63859,32720,Adam Enright,M,26.0,178.0,79.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Gold
64848,33177,Robert Esmie,M,24.0,175.0,64.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
65379,33461,"Marcus ""Mark"" Evans",M,26.0,196.0,87.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
65383,33463,"John Michael ""Mike"" Evans",M,26.0,190.0,87.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
65569,33555,Walter Hamilton Ewing,M,30.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Shooting,Shooting Men's Trap,Gold
68442,34944,Gillian Ferrari,F,25.0,173.0,73.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
69852,35576,"Franklyn Wood ""Frank"" Fisher",M,20.0,,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
69856,35578,Hugh Fisher,M,28.0,183.0,83.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
70389,35834,"Theoren Wallace ""Theo"" Fleury",M,33.0,168.0,82.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
71081,36193,Adam David Vernon Foote,M,30.0,188.0,97.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
71132,36226,Atina Ford (Johnston-),F,26.0,160.0,68.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
71201,36264,Michael Joseph Forgeron,M,26.0,199.0,98.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
71454,36383,Laura Michele Fortino,F,23.0,164.0,62.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
72585,36918,Sylvie Frchette (-Van Strydonck),F,25.0,177.0,64.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold
72664,36952,"Sigurdur Franklin ""Frank"" Fredrickson",M,24.0,180.0,82.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
73095,37160,"Kristmundur N. ""Chris"" Fridfinnson",M,21.0,180.0,58.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
73536,37371,Ryan Fry,M,35.0,175.0,80.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
74103,37636,Lori Fung (-Methorst),F,21.0,163.0,43.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
74591,37891,Simon Gagn,M,21.0,183.0,84.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
74612,37897,Marc Gagnon,M,22.0,184.0,75.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
74613,37897,Marc Gagnon,M,26.0,184.0,75.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
74616,37897,Marc Gagnon,M,26.0,184.0,75.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
75808,38481,George Frederick Garbutt,M,28.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
77024,39084,"Donald Valentine ""Don"" Gauf",M,25.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
77250,39204,"Thomas Franklin ""Tom"" Gayford",M,39.0,172.0,70.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
77753,39466,George Patrick Genereux,M,17.0,,,Canada,CAN,1952 Summer,1952,Summer,Helsinki,Shooting,Shooting Men's Trap,Gold
78561,39876,Ryan Getzlaf,M,24.0,193.0,100.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
78562,39876,Ryan Getzlaf,M,28.0,193.0,100.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
79083,40160,"William James ""Billy"" Gibson",M,24.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
79106,40167,Duff Gibson,M,39.0,185.0,100.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Skeleton,Skeleton Men's Skeleton,Gold
79285,40265,Glenroy John Gilbert,M,27.0,183.0,79.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
79936,40577,Mathieu Giroux,M,24.0,177.0,80.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold
82123,41700,"Magnus ""Mike"" Goodman",M,22.0,171.0,68.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
82429,41880,"Thomas Patrick ""Tom"" Gorman",M,21.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
82821,42068,George Henry Goulding,M,26.0,,,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 10 kilometres Walk,Gold
82956,42140,Danielle Goyette,F,36.0,168.0,70.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
82957,42140,Danielle Goyette,F,40.0,168.0,70.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
83613,42498,Israel Jean Orval Gravelle,M,20.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
83963,42670,Nancy Catherine Greene (-Raine),F,24.0,160.0,62.0,Canada,CAN,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
85809,43511,Marcia Gudereit (Schiml-),F,32.0,165.0,68.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
86287,43735,Jonathan Guilmette,M,23.0,180.0,75.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
86875,44066,"Bradley Raymond ""Brad"" Gushue",M,25.0,183.0,77.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
87336,44283,"Patrick ""Patsy"" Guzzo",M,30.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
87442,44338,"Horace ""Lefty"" Gwynne",M,19.0,157.0,53.0,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,Gold
88668,44948,"Wallace Edwin ""Wally"" Halder",M,22.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
88669,44949,"Harold ""Slim"" Halderson",M,20.0,190.0,91.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
89265,45242,Charles Hamelin,M,25.0,175.0,71.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
89268,45242,Charles Hamelin,M,25.0,175.0,71.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
89271,45242,Charles Hamelin,M,29.0,175.0,71.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
89274,45243,Franois Hamelin,M,23.0,175.0,73.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
89286,45250,"Daniel ""Dan"" Hamhuis",M,31.0,185.0,92.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
89326,45277,"Ernest Samuel ""Ernie"" Hamilton",M,25.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
89336,45284,Kyle Hamilton,M,30.0,199.0,96.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
90107,45661,Ralph Lawrence Hansch,M,27.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
90971,46095,"Eric J. ""E.J."" Harnden",M,30.0,185.0,84.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
90977,46098,Ryan Harnden,M,27.0,183.0,91.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
92706,46974,Geraldine Anne Heaney,F,34.0,173.0,64.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
92778,47004,"Daniel James ""Dany"" Heatley",M,29.0,191.0,97.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
92806,47021,"Benjamin ""Ben"" Hebert",M,26.0,180.0,94.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Gold
92905,47073,Kathleen Joan Heddle,F,26.0,180.0,72.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,Gold
92906,47073,Kathleen Joan Heddle,F,26.0,180.0,72.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
92907,47073,Kathleen Joan Heddle,F,30.0,180.0,72.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Double Sculls,Gold
93060,47137,Jayna Hefford,F,24.0,163.0,63.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
93061,47137,Jayna Hefford,F,28.0,163.0,63.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
93062,47137,Jayna Hefford,F,32.0,163.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
93063,47137,Jayna Hefford,F,36.0,163.0,63.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
93134,47165,Anne Heggtveit (-Hamilton),F,21.0,160.0,51.0,Canada,CAN,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
93288,47229,Jennifer Heil,F,22.0,162.0,56.5,Canada,CAN,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
94111,47631,"Reinhold ""Roy"" Henkel",M,26.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
95589,48396,"Thomas Edward ""Ted"" Hibberd",M,21.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
96868,49047,George Ritchie Hodgson,M,18.0,,,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,Gold
96869,49047,George Ritchie Hodgson,M,18.0,,,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
98367,49784,"Henry Francis ""Henny"" Hoobin",M,29.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
98702,49949,Blair James H. Horn,M,23.0,190.0,87.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
99420,50322,Malcolm Howard,M,25.0,200.0,100.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
99438,50330,"Russell W. ""Russ"" Howard",M,49.0,178.0,80.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
99495,50359,Dara Howell,F,19.0,170.0,58.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Slopestyle,Gold
100446,50800,"Henry Dewey Louis ""Lou"" Hudson",M,29.0,,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
100586,50859,Clara Hughes,F,33.0,175.0,72.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Women's 5,000 metres",Gold
100934,51029,George William Hungerford,M,20.0,195.0,96.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Pairs,Gold
101527,51341,Carol Huynh,F,27.0,154.0,48.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold
102104,51655,Baraladei Daniel Igali,M,26.0,168.0,74.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
102146,51674,Jarome Arthur-Leigh Adekunle Tig Junior Elvis Iginla,M,24.0,185.0,95.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
102148,51674,Jarome Arthur-Leigh Adekunle Tig Junior Elvis Iginla,M,32.0,185.0,95.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
103548,52392,Haley Lyn Irwin,F,21.0,170.0,78.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
103549,52392,Haley Lyn Irwin,F,25.0,170.0,78.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
104995,53144,Roger Charles Jackson,M,22.0,199.0,86.0,Canada,CAN,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Pairs,Gold
105065,53186,"Bradley ""Brad"" Jacobs",M,28.0,180.0,81.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Gold
107036,54102,Olivier Jean,M,25.0,188.0,83.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
107439,54296,Brianne Alexandra Jenner,F,22.0,175.0,70.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
108946,55085,"Konrad Jonasson ""Konnie"" Johannesson",M,23.0,179.0,75.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
109815,55524,Rebecca Ann Johnston,F,20.0,170.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
109816,55524,Rebecca Ann Johnston,F,24.0,170.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
110113,55680,Jennifer Judith Jones,F,39.0,173.0,63.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Gold
110630,55946,Curtis Shayne Joseph,M,34.0,180.0,86.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
110808,56050,"Edward ""Ed"" Jovanovski",M,25.0,188.0,96.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
113662,57574,Paul Tetsuhiko Kariya,M,27.0,178.0,78.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
115339,58450,Duncan Keith,M,26.0,185.0,88.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
115340,58450,Duncan Keith,M,30.0,185.0,88.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
115460,58494,"Rebecca D. ""Becky"" Kellar (-Duke)",F,27.0,170.0,71.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
