,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
227029,114085,Kim St-Pierre,F,23.0,175.0,71.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
227030,114085,Kim St-Pierre,F,27.0,175.0,71.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
227031,114085,Kim St-Pierre,F,31.0,175.0,71.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
227051,114099,Martin St. Louis,M,38.0,176.0,84.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
227070,114108,Eric Craig Staal,M,25.0,193.0,93.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
228156,114598,Paul Steele,M,26.0,195.0,93.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
231429,116122,"Pernell Karl ""PK"" Subban",M,24.0,183.0,98.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
231945,116362,"Francis Cornelius ""Frank"" Sullivan",M,34.0,180.0,81.0,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
231946,116363,"Francis Gerald ""Frank"" Sullivan",M,29.0,,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
231951,116366,"Joseph Albert Taylor ""Joe"" Sullivan",M,27.0,,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
232422,116593,Vicky Sunohara,F,31.0,170.0,75.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
232423,116593,Vicky Sunohara,F,35.0,170.0,75.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
232546,116641,Bruny Surin,M,29.0,180.0,81.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
232691,116715,Hugh Robert Sutherland,M,25.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
233884,117307,Shannon Lynn Szabados,F,23.0,175.0,65.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
233885,117307,Shannon Lynn Szabados,F,27.0,175.0,65.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
236924,118800,John Tavares,M,23.0,183.0,90.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
237030,118861,Brenda Susan Taylor,F,29.0,173.0,66.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
237031,118861,Brenda Susan Taylor,F,29.0,173.0,66.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
237097,118897,Irving Carrie Taylor,M,28.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
237163,118939,Ross Croft Taylor,M,25.0,178.0,,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
238165,119438,"Marcus ""Mark"" Tewksbury",M,24.0,185.0,80.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,Gold
238853,119749,Linda Mary Alice Thom (Malcolm-),F,40.0,177.0,68.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Gold
239275,119937,Marielle Thompson,F,21.0,178.0,70.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,Gold
239328,119965,Lesley Allison Thompson-Willie,F,32.0,160.0,50.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
239457,120016,"Earl John ""Tommy"" Thomson",M,25.0,188.0,86.0,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,Gold
239599,120079,"Joseph Eric ""Joe"" Thornton",M,30.0,193.0,102.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
240976,120709,Jonathan Bryan Toews,M,21.0,188.0,95.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
240977,120709,Jonathan Bryan Toews,M,25.0,188.0,95.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
243216,121804,Franois-Louis Tremblay,M,21.0,173.0,73.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
243221,121804,Franois-Louis Tremblay,M,29.0,173.0,73.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
243765,122078,"David ""Dave"" Trottier",M,21.0,178.0,77.0,Canada,CAN,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
245021,122700,Mathieu Turcotte,M,25.0,165.0,68.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
245128,122754,"Alexander Thomas ""Sandy"" Turnbull",M,35.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Lacrosse,Lacrosse Men's Lacrosse,Gold
245226,122795,"Patrick ""Pat"" Turner",M,23.0,,,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
247254,123794,Sarah Marie Vaillancourt,F,20.0,168.0,63.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
247255,123794,Sarah Marie Vaillancourt,F,24.0,168.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
249122,124716,Adam Joseph Van Koeverden,M,22.0,182.0,85.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
253562,126976,Marc-douard Vlasic,M,26.0,185.0,93.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
255485,127913,"Ulysses Stanley ""Stan"" Wagner",M,23.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
255673,128002,"Jennifer Dorothy June ""Jenn"" Wakefield",F,24.0,175.0,77.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
255778,128053,Carolyn Jane Waldo,F,23.0,170.0,56.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold
255779,128053,Carolyn Jane Waldo,F,23.0,170.0,56.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
